constituencies
NA-1 Chitral
NA-2 Swat-I
NA-3 Swat-II
NA-4 Swat-III
NA-5 Upper Dir
NA-6 Lower Dir-I
NA-7 Lowe Dir-II
NA-8 Malakand Protected Area
NA-9 Buner
NA-10 Shangla
NA-11 Kohistan-cum-Lower Kohistan-cum-Kolai Pallas Kohistan
NA-12 Batgram
NA-13 Mansehra-I
NA-14 Mansehra-cum-Torghar
NA-15 Abbotabad-I
NA-16 Abbotabad-II
NA-17 Haripur
NA-18 Swabi-I
NA-19 Swabi-II
NA-20 Mardan-I
NA-21 Mardan-II
NA-22 Mardan-III
NA-23 Charsada-I
NA-24 Charsada-II
NA-25 Nowshehra-I
NA-26 Nowshehra-II
NA-27 Peshawar-I
NA-28 Peshawar-II
NA-29 Peshawar-III
NA-30 Peshawar-IV
NA-31 Peshawar-V
NA-32 Kohat
NA-33 Hangu
NA-34 Karak
NA-35 Bannu
NA-36 Lakki Marwat
NA-37 Tank
NA-38 Dera Ismail Khan-I
NA-39 Dera Ismail Khan-II
NA-40 Bajaur-I
NA-41 Bajaur-II
NA-42 Bajaur-III
NA-43 Mohmand
NA-44 Khyber-I
NA-45 Khyber-II
NA-46 Kurram-VII
NA-47 Orakzai
NA-48 North Wazirastan
NA-49 South Wazirastan-I
NA-50 South Wazirastan-II
NA-51 FR Tribal Areas
NA-52 ITC-I
NA-53 ITC-II
NA-54 ITC-III
NA-55 Attock-I
NA-56 Attock-II
NA-57 Rawalpindi-I
NA-58 Rawalpindi-II
NA-59 Rawalpindi-III
NA-60 Rawalpindi-IV
NA-61 Rawalpindi-V
NA-62 Rawalpindi-VI
NA-63 Rawalpindi-VII
NA-64 Chakwal-I
NA-65 Chakwal-II
NA-66 Jehlum-I
NA-67 Jhelum-II
NA-68 Gujrat-I
NA-69 Gujrat-II
NA-70 Gujrat-III
NA-71 Gujrat-IV
NA-72 Sialkot-I
NA-73 Sialkot-II
NA-74 Sialkot-III
NA-75 Sialkot-IV
NA-76 Sialkot-V
NA-77 Narowal-I
NA-78 Narowal-II
NA-79 Gujranwala-I
NA-80 Gujranwala-II
NA-81 Gujranwala-III
NA-82 Gujranwala-IV
NA-83 Gujranwala-V
NA-84 Gujranwala-VI
NA-85 M.B.Din-I
NA-86 M.B.Din-II
NA-87 Hafizabad
NA-88 Sargodha-I
NA-89 Sargodha-II
NA-90 Sargodha-III
NA-91 Sargodha-IV
NA-92 Sargodha-V
NA-93 Khushab-I
NA-94 Khushab-II
NA-95 Mianwali-I
NA-96 Mianwali-II
NA-97 Bhakkar-I
NA-98 Bhakkar-II
NA-99 Chiniot-I
NA-100 Chiniot-II
NA-101 Faisalabad-I
NA-102 Faisalabad-II
NA-103 Faisalabad-III
NA-104 Faisalabad-IV
NA-105 Faisalabad-V
NA-106 Faisalabad-VI
NA-107 Faisalabad-VII
NA-108 Faisalabad-VIII
