S,Province,District,DN
0,Northern Areas,Northern Areas,0
0,Azad Kashmir,Azad Kashmir,0
1,Khyber Pakhtunkhawa,Abbottabad,101
2,Khyber Pakhtunkhawa,Bajur,102
3,Khyber Pakhtunkhawa,Bannu,103
4,Khyber Pakhtunkhawa,Batagram,104
5,Khyber Pakhtunkhawa,Bunair,105
6,Khyber Pakhtunkhawa,Charsada,106
7,Khyber Pakhtunkhawa,Chitral,107
8,Khyber Pakhtunkhawa,D. I. Khan,108
9,Khyber Pakhtunkhawa,Hangu,109
10,Khyber Pakhtunkhawa,Haripur,110
11,Khyber Pakhtunkhawa,Karak,111
12,Khyber Pakhtunkhawa,Khyber,112
13,Khyber Pakhtunkhawa,Kohat,113
14,Khyber Pakhtunkhawa,Kohistan,114
15,Khyber Pakhtunkhawa,Kurram,115
16,Khyber Pakhtunkhawa,Lakki Marwat,116
17,Khyber Pakhtunkhawa,Lower Dir,117
18,Khyber Pakhtunkhawa,Malakand,118
19,Khyber Pakhtunkhawa,Mansehra,119
20,Khyber Pakhtunkhawa,Mardan,120
21,Khyber Pakhtunkhawa,Mohmand,121
22,Khyber Pakhtunkhawa,North Waziristan,122
23,Khyber Pakhtunkhawa,Nowshera,123
24,Khyber Pakhtunkhawa,Orakzai,124
25,Khyber Pakhtunkhawa,Peshawar,125
26,Khyber Pakhtunkhawa,Shangla,126
27,Khyber Pakhtunkhawa,South Waziristan,127
28,Khyber Pakhtunkhawa,Swabi,128
29,Khyber Pakhtunkhawa,Swat,129
30,Khyber Pakhtunkhawa,Tank,130
31,Khyber Pakhtunkhawa,Tor Garh,131
32,Khyber Pakhtunkhawa,Upper Dir,132
1,Punjab,Attock,201
2,Punjab,Bahawalnagar,202
3,Punjab,Bahawalpur,203
4,Punjab,Bhakhar,204
5,Punjab,Chakwal,205
6,Punjab,Chiniot,206
7,Punjab,D. G. Khan,207
8,Punjab,Faisalabad,208
9,Punjab,Gujranwala,209
10,Punjab,Gujrat,210
11,Punjab,Hafizabad,211
12,Punjab,Islamabad,212
13,Punjab,Jehlum,213
14,Punjab,Jhang,214
15,Punjab,Kasur,215
16,Punjab,Khanewal,216
17,Punjab,Khushab,217
18,Punjab,Lahore,218
19,Punjab,Layyah,219
20,Punjab,Lodhran,220
21,Punjab,Mandi Bahauddin,221
22,Punjab,Mianwali,222
23,Punjab,Multan,223
24,Punjab,Muzaffar Garh,224
25,Punjab,Nankana Sahib,225
26,Punjab,Narowal 226,
27,Punjab,Okara,227
28,Punjab,Pakpattan,228
29,Punjab,Rahim Yar Khan,229
30,Punjab,Rajanpur,230
31,Punjab,Rawalpindi,231
32,Punjab,Sahiwal,232
33,Punjab,Sargodha,233
34,Punjab,Sheikhupura,234
35,Punjab,Sialkot,235
36,Punjab,T.T. Singh,236
37,Punjab,Vehari,237
1,Sindh,Badin,301
2,Sindh,Dadu,302
3,Sindh,Ghotki,303
4,Sindh,Hyderabad,304
5,Sindh,Jacobabad,305
6,Sindh,Jamshoro,306
7,Sindh,Karachi Central,307
8,Sindh,Karachi East,308
9,Sindh,Karachi Malir,309
10,Sindh,Karachi South,310
11,Sindh,Karachi West,311
12,Sindh,Kashmore,312
13,Sindh,Khairpur,313
14,Sindh,Korangi,314
15,Sindh,Larkana,315
16,Sindh,Matiari,316
17,Sindh,Mir Pur Khas,317
18,Sindh,Nowshero Feroze,318
19,Sindh,Sanghar,319
20,Sindh,Shahdadkot,320
21,Sindh,Shaheed Banazir Abad,321
22,Sindh,Shikarpur,322
23,Sindh,Sujawal,323
24,Sindh,Sukkur,324
25,Sindh,Tando Allah Yar,325
26,Sindh,Tando Muhammad Khan,326
27,Sindh,Tharparkar,327
28,Sindh,Thatta,328
29,Sindh,Umer Kot,329
1,Balochistan,Awaran,401
2,Balochistan,Barkhan,402
3,Balochistan,Chagai,403
4,Balochistan,Dera Bugti,404
5,Balochistan,Duki,405
6,Balochistan,Gwadar,406
7,Balochistan,Harnai,407
8,Balochistan,Jaffarabad,408
9,Balochistan,Jhal Magsi,409
10,Balochistan,Kachhi/Bolan,410
11,Balochistan,Kalat,411
12,Balochistan,Kech/Turbat,412
13,Balochistan,Kharan,413
14,Balochistan,Khuzdar,414
15,Balochistan,Kohlu,415
16,Balochistan,Lasbela,416
17,Balochistan,Loralai,417
18,Balochistan,Mastung,418
19,Balochistan,Musa Khel,419
20,Balochistan,Nasirabad/Tamboo,420
21,Balochistan,Nushki,421
22,Balochistan,Panjgoor,422
23,Balochistan,Pishin,423
24,Balochistan,Qilla Abdullah,424
25,Balochistan,Qilla Saifullah,425
26,Balochistan,Quetta,426
27,Balochistan,Shaheed Sikandar Abad,427
28,Balochistan,Sherani,428
29,Balochistan,Sibbi,429
30,Balochistan,Sohbatpur,430
31,Balochistan,Washuk,431
32,Balochistan,Zhob,432
33,Balochistan,Ziarat,433
